team,team_id,season,jersey,name,position,height,year,hometown,high_school,previous_school,url
Hamline,268,2025-26,3,Ava Nebben,G,"5'9""",So.,"Monticello, Minn.",Monticello,,https://hamlineathletics.com/sports/womens-basketball/roster/ava-nebben/11013
Hamline,268,2025-26,4,Emma Lamppa,G,"5'7""",So.,"Eveleth, Minn.",Rock Ridge,,https://hamlineathletics.com/sports/womens-basketball/roster/emma-lamppa/11011
Hamline,268,2025-26,5,Phaley Yang,G,"5'5""",Fy.,"Woodbury, Minn.",Woodbury,,https://hamlineathletics.com/sports/womens-basketball/roster/phaley-yang/11109
Hamline,268,2025-26,10,Josie Lupinek,G,"5'4""",So.,"St. Francis, Minn.",St. Francis,,https://hamlineathletics.com/sports/womens-basketball/roster/josie-lupinek/11012
Hamline,268,2025-26,11,Anna Rynkiewich,G/F,"5'10""",Jr.,"St. Paul, Minn.",St. Paul Central,,https://hamlineathletics.com/sports/womens-basketball/roster/anna-rynkiewich/11015
Hamline,268,2025-26,12,Taylor Starks,F,"5'9""",Fy.,"Brooklyn Park, Minn.",DeLaSalle,,https://hamlineathletics.com/sports/womens-basketball/roster/taylor-starks/11107
Hamline,268,2025-26,13,Josie Schmidt,G,"5'7""",So.,"Belle Plaine, Minn.",Belle Plaine,,https://hamlineathletics.com/sports/womens-basketball/roster/josie-schmidt/11016
Hamline,268,2025-26,15,Sophie Stork,G/F,"5'9""",Sr.,"New Richland, Minn.",New Richland-Hartland-Ellendale-Geneva,,https://hamlineathletics.com/sports/womens-basketball/roster/sophie-stork/11018
Hamline,268,2025-26,20,Camille Cummings,G,"5'8""",Sr.,"Lino Lakes, Minn.",Centennial,,https://hamlineathletics.com/sports/womens-basketball/roster/camille-cummings/11006
Hamline,268,2025-26,21,Aliyah Robran,F,"5'10""",Sr.,"Greenfield, Minn",Rockford,Jamestown,https://hamlineathletics.com/sports/womens-basketball/roster/aliyah-robran/11014
Hamline,268,2025-26,22,Evelyn Wiltrout,F,"5'11""",Jr.,"Cambridge, Minn.",Cambridge-Isanti,UW-River Falls,https://hamlineathletics.com/sports/womens-basketball/roster/evelyn-wiltrout/11020
Hamline,268,2025-26,23,Marina LaFreniere,F,"5'10""",Jr.,"Blaine, Minn.",Blaine,,https://hamlineathletics.com/sports/womens-basketball/roster/marina-lafreniere/11010
Hamline,268,2025-26,24,Josie Wiebusch,G/F,"5'9""",Sr.,"St. Peter, Minn.",St. Peter,,https://hamlineathletics.com/sports/womens-basketball/roster/josie-wiebusch/11019
Hamline,268,2025-26,25,Alida Simonson,F,"5'10""",Fy.,"Farmington, Minn.",Farmington,,https://hamlineathletics.com/sports/womens-basketball/roster/alida-simonson/11021
Hamline,268,2025-26,32,Isabella Jensen,G,"5'8""",Sr.,"Apple Valley, Minn.",Apple Valley,,https://hamlineathletics.com/sports/womens-basketball/roster/isabella-jensen/11008
Hamline,268,2025-26,33,Megan Spencer,G/F,"5'10""",So.,"Blaine, Minn.",Totino Grace,,https://hamlineathletics.com/sports/womens-basketball/roster/megan-spencer/11017
Hamline,268,2025-26,34,Taylor Klement,G,"5'9""",So.,"Stewartville, Minn.",Stewartville,,https://hamlineathletics.com/sports/womens-basketball/roster/taylor-klement/11009
Hamline,268,2025-26,40,Morgan Halverson,F,"5'10""",Fy.,"Hager City, Wis.",Ellsworth,,https://hamlineathletics.com/sports/womens-basketball/roster/morgan-halverson/11108
Belmont Abbey,2683,2025-26,1,Madison Lusk,G,"5'6""",Jr.,"Denver, N.C.",Lincoln Charter,,https://abbeyathletics.com/sports/womens-basketball/roster/madison-lusk/9063
Belmont Abbey,2683,2025-26,3,Ava Fulkerson,G,"5'7""",Fr.,"Richmond, Va.",Saint Gertrude,,https://abbeyathletics.com/sports/womens-basketball/roster/ava-fulkerson/9326
Belmont Abbey,2683,2025-26,4,Katie Story,G,"5'2""",Jr.,"Lenoir, N.C.",Hibriten,,https://abbeyathletics.com/sports/womens-basketball/roster/katie-story/9066
Belmont Abbey,2683,2025-26,5,Reagan Iovino,G,"5'4""",Jr.,"Waxhaw, N.C.",Cuthberson,,https://abbeyathletics.com/sports/womens-basketball/roster/reagan-iovino/9060
Belmont Abbey,2683,2025-26,10,Audra Hillman,G,"6'1""",So.,"Wake Forest, N.C.",Wake Forest HS,USC Beaufort,https://abbeyathletics.com/sports/womens-basketball/roster/audra-hillman/9327
Belmont Abbey,2683,2025-26,12,Claire Griffin,G,"5'8""",So.,"Charleston, S.C.",Cathedral Academy,,https://abbeyathletics.com/sports/womens-basketball/roster/claire-griffin/9331
Belmont Abbey,2683,2025-26,13,Kallie Lusk,G/F,"5'10""",So.,"Denver, N.C.",Lincoln Charter,,https://abbeyathletics.com/sports/womens-basketball/roster/kallie-lusk/9062
Belmont Abbey,2683,2025-26,14,Brielle George,F,"6'0""",Fr.,"West Palm Beach, Fla.",The King's Academy,,https://abbeyathletics.com/sports/womens-basketball/roster/brielle-george/9328
Belmont Abbey,2683,2025-26,15,Valeria Batista,F,"6'1""",Jr.,"Charlotte, N.C.",Victory Christian Center,,https://abbeyathletics.com/sports/womens-basketball/roster/valeria-batista/9057
Belmont Abbey,2683,2025-26,20,Janiah Shular,G/F,"6'0""",Jr.,"Huntersville, N.C.",Victory Christian Center,,https://abbeyathletics.com/sports/womens-basketball/roster/janiah-shular/9065
Belmont Abbey,2683,2025-26,21,Lillian Bates,C,"6'4""",So.,"Cambridge, Minn.",West Ridge (Tenn.),,https://abbeyathletics.com/sports/womens-basketball/roster/lillian-bates/9056
Belmont Abbey,2683,2025-26,23,Bella Martin,G,"5'6""",Fr.,"Jasper, Ga.",Pickens,,https://abbeyathletics.com/sports/womens-basketball/roster/bella-martin/9329
Belmont Abbey,2683,2025-26,24,Riley James,,"5'8""",Sr.,"Davidsonville, Md.",Elizabeth Seton,,https://abbeyathletics.com/sports/womens-basketball/roster/riley-james/9061
Belmont Abbey,2683,2025-26,31,Sofia McNabb,F,"6'0""",So.,"Murphy, N.C.",Raburn Gap-Nacoochee,Arkansas-Fort Smith,https://abbeyathletics.com/sports/womens-basketball/roster/sofia-mcnabb/9330
Belmont Abbey,2683,2025-26,32,Leigha Dennison,G,"5'10""",Jr.,"Hilliard, Ohio",Bradley,,https://abbeyathletics.com/sports/womens-basketball/roster/leigha-dennison/9058
Belmont Abbey,2683,2025-26,33,Emily Driver,G/F,"6'0""",Sr.,"Fuquay-Varina, N.C.",Fuquay-Varina,,https://abbeyathletics.com/sports/womens-basketball/roster/emily-driver/9059
Belmont Abbey,2683,2025-26,34,Sydney Martin,F,"6'1""",So.,"Naples, Fla.",St. John Newman,,https://abbeyathletics.com/sports/womens-basketball/roster/sydney-martin/9064
Franklin,2694,2025-26,0,Molly Schulte,G,"5'8""",So.,"Rockport, Ind.",South Spencer,,https://franklingrizzlies.com/sports/womens-basketball/roster/molly-schulte/7159
Franklin,2694,2025-26,1,Cailyn Baechle,G,"5'5""",Jr.,"Paoli, Ind.",Paoli,,https://franklingrizzlies.com/sports/womens-basketball/roster/cailyn-baechle/7148
Franklin,2694,2025-26,2,Cameryn Ridderikhoff,F,"5'10""",Fr.,"Frankfort, Ky.",Madison Central,,https://franklingrizzlies.com/sports/womens-basketball/roster/cameryn-ridderikhoff/7347
Franklin,2694,2025-26,3,Jordan Coon,G,"5'7""",Sr.,"Evansville, Ind.",Castle,,https://franklingrizzlies.com/sports/womens-basketball/roster/jordan-coon/7152
Franklin,2694,2025-26,4,Briley Munchel,G,"5'3""",Jr.,"Rushville, Ind.",Rushville,,https://franklingrizzlies.com/sports/womens-basketball/roster/briley-munchel/7156
Franklin,2694,2025-26,8,Avery Kelley,G,"5'5""",Fr.,"Evansville, Ind.",Evansville Central,,https://franklingrizzlies.com/sports/womens-basketball/roster/avery-kelley/7366
Franklin,2694,2025-26,11,Lauren Barker,G,"5'6""",Jr.,"Columbus, Ind.",Columbus North,,https://franklingrizzlies.com/sports/womens-basketball/roster/lauren-barker/7149
Franklin,2694,2025-26,12,Erica Buening,F,"5'10""",So.,"Franklin, Ind.",Franklin Community,,https://franklingrizzlies.com/sports/womens-basketball/roster/erica-buening/7151
Franklin,2694,2025-26,13,Payton Seay,G/F,"5'6""",Jr.,"Carmel, Ind.",University,,https://franklingrizzlies.com/sports/womens-basketball/roster/payton-seay/7160
Franklin,2694,2025-26,14,Sophia Saucerman,C,"6'1""",Fr.,"Eminence, Ind.",Eminence,,https://franklingrizzlies.com/sports/womens-basketball/roster/sophia-saucerman/7348
Franklin,2694,2025-26,21,Kaylee Rhoton,G,"5'4""",Jr.,"Cicero, Ind.",Hamilton Heights,,https://franklingrizzlies.com/sports/womens-basketball/roster/kaylee-rhoton/7158
Franklin,2694,2025-26,22,Abi Clayton,F,"5'11""",Fr.,"Noblesville, Ind.",Hamilton Southeastern,,https://franklingrizzlies.com/sports/womens-basketball/roster/abi-clayton/7344
Franklin,2694,2025-26,23,Taylor Turk,G,"5'9""",So.,"Indianapolis, Ind.",Roncalli,,https://franklingrizzlies.com/sports/womens-basketball/roster/taylor-turk/7161
Franklin,2694,2025-26,24,Ava Reitmeyer,G/F,"5'10""",So.,"Bloomington, Ind.",Bloomington North,,https://franklingrizzlies.com/sports/womens-basketball/roster/ava-reitmeyer/7157
Franklin,2694,2025-26,31,Kate Breeden,F,"5'11""",Sr.,"Evansville, Ind.",Mater Dei,,https://franklingrizzlies.com/sports/womens-basketball/roster/kate-breeden/7150
Franklin,2694,2025-26,32,Lydia Wright,G,"5'7""",Fr.,"Sellersburg, Ind.",Silver Creek,,https://franklingrizzlies.com/sports/womens-basketball/roster/lydia-wright/7350
Franklin,2694,2025-26,40,Aly Peters,F,"5'10""",Fr.,"Batesville, Ind.",Batesville,,https://franklingrizzlies.com/sports/womens-basketball/roster/aly-peters/7346
IUPUI,2699,2025-26,1,Destini Craig,G/F,"5'10""",R-Fr.,"Fort Wayne, Ind.",Northrop,,https://iupuijags.com/sports/womens-basketball/roster/destini-craig/8487
IUPUI,2699,2025-26,2,Jemma Amoore,G,"5'4""",So.,"Ballarat, Victoria, Australia",Loreto College Ballarat,,https://iupuijags.com/sports/womens-basketball/roster/jemma-amoore/8491
IUPUI,2699,2025-26,3,Sydney Bolden,G,"5'8""",Sr.,"Loganville, Ga.",Loganville,,https://iupuijags.com/sports/womens-basketball/roster/sydney-bolden/8492
IUPUI,2699,2025-26,4,E'Zaria Adams,G,"5'9""",Jr.,"West Palm Beach, Fla.",Palm Beach Central,,https://iupuijags.com/sports/womens-basketball/roster/e-zaria-adams/8493
IUPUI,2699,2025-26,5,Camron Blank,G,"5'9""",Gr.,"Rockford, Ill.",Rockford Jefferson,,https://iupuijags.com/sports/womens-basketball/roster/camron-blank/8486
IUPUI,2699,2025-26,10,Denali Craig-Edwards,G/F,"6'1""",Jr.,"Peoria, Ill.",Peoria,,https://iupuijags.com/sports/womens-basketball/roster/denali-craig-edwards/8488
IUPUI,2699,2025-26,11,Ariana Williams,F,"6'2""",So.,"Chicago, Ill.",Example Academy,,https://iupuijags.com/sports/womens-basketball/roster/ariana-williams/8494
IUPUI,2699,2025-26,12,Kamara Mills,G,"5'9""",So.,"Indianapolis, Ind.",Lawrence North,,https://iupuijags.com/sports/womens-basketball/roster/kamara-mills/8495
IUPUI,2699,2025-26,14,Nevaeh Foster,G,"5'8""",Jr.,"South Bend, Ind.",Mishawaka Marian,,https://iupuijags.com/sports/womens-basketball/roster/nevaeh-foster/8489
IUPUI,2699,2025-26,23,Kaylin Moorehead,G,"5'6""",R-So.,"Redford, Mich.",Westfield Prep,,https://iupuijags.com/sports/womens-basketball/roster/kaylin-moorehead/8490
IUPUI,2699,2025-26,24,Mylie Wilkison,G,"5'7""",Fr.,"Greensburg, Ind.",Greensburg,,https://iupuijags.com/sports/womens-basketball/roster/mylie-wilkison/8500
IUPUI,2699,2025-26,30,Hailey Smith,G/F,"5'10""",Jr.,"Fishers, Ind.",Fishers,,https://iupuijags.com/sports/womens-basketball/roster/hailey-smith/8496
IUPUI,2699,2025-26,31,Olivia Smith,G/F,"5'10""",Jr.,"Fishers, Ind.",Fishers,,https://iupuijags.com/sports/womens-basketball/roster/olivia-smith/8497
IUPUI,2699,2025-26,32,Julia Hall,G/F,"6'0""",Fr.,"Rocky River, Ohio",Magnificat,,https://iupuijags.com/sports/womens-basketball/roster/julia-hall/8498
IUPUI,2699,2025-26,33,Emmy Lowe,G,"5'8""",Fr.,"Byrdstown, Tenn.",Pickett County,,https://iupuijags.com/sports/womens-basketball/roster/emmy-lowe/8499
Hardin-Simmons,271,2025-26,1,Jacqueline Berry,G,"5'11""",So.,"Texhoma, Okla.",Texhoma,,https://hsuathletics.com/sports/womens-basketball/roster/jacqueline-berry/8900
Hardin-Simmons,271,2025-26,2,Nilaya Gordon,G,"5'3""",Fr.,"Sunnyvale, Texas",Sunnyvale,,https://hsuathletics.com/sports/womens-basketball/roster/nilaya-gordon/8910
Hardin-Simmons,271,2025-26,3,Reese Cruse,G,"5'9""",So.,"Turkey, Texas",Valley,,https://hsuathletics.com/sports/womens-basketball/roster/reese-cruse/8904
Hardin-Simmons,271,2025-26,4,Abbie Crow,G,"5'9""",Sr.,"Lubbock, Texas",Lubbock Christian High,,https://hsuathletics.com/sports/womens-basketball/roster/abbie-crow/8903
Hardin-Simmons,271,2025-26,10,Gracey Merrell,G,"5'2""",Fr.,"Idalou, Texas",Lubbock Christian High,,https://hsuathletics.com/sports/womens-basketball/roster/gracey-merrell/8915
Hardin-Simmons,271,2025-26,11,Caroline Croft,,"5'6""",Sr.,"Bartlett, Ill.",South Elgin,University of Dallas,https://hsuathletics.com/sports/womens-basketball/roster/caroline-croft/8902
Hardin-Simmons,271,2025-26,12,Savannah Bennett,F,"6'1""",Jr.,"Argyle, Texas",Argyle,,https://hsuathletics.com/sports/womens-basketball/roster/savannah-bennett/8899
Hardin-Simmons,271,2025-26,14,Tayley Bullen,G,"5'8""",Fr.,"Lubbock, Texas",Lubbock Cooper,,https://hsuathletics.com/sports/womens-basketball/roster/tayley-bullen/8911
Hardin-Simmons,271,2025-26,15,Melody Martinez,G,"5'8""",Gr.,"Seminole, Texas",Seminole,,https://hsuathletics.com/sports/womens-basketball/roster/melody-martinez/8914
Hardin-Simmons,271,2025-26,20,Grace Sims,G,"5'7""",Jr.,"Panhandle, Texas",Panhandle,,https://hsuathletics.com/sports/womens-basketball/roster/grace-sims/8908
Hardin-Simmons,271,2025-26,22,Destiny Jamison,G,"5'9""",Fr.,"Comanche, Texas",Comanche,,https://hsuathletics.com/sports/womens-basketball/roster/destiny-jamison/8912
Hardin-Simmons,271,2025-26,23,MaeSyn Gay,F,"5'10""",So.,"Burnet, Texas",Burnet,,https://hsuathletics.com/sports/womens-basketball/roster/maesyn-gay/8905
Hardin-Simmons,271,2025-26,24,Kiah Buchanan,G,"5'10""",Fr.,"Lubbock, Texas",Frenship,,https://hsuathletics.com/sports/womens-basketball/roster/kiah-buchanan/8913
Hardin-Simmons,271,2025-26,25,Dylan Koele,G,"6'0""",So.,"Denton, Texas",Lake Dallas,,https://hsuathletics.com/sports/womens-basketball/roster/dylan-koele/8906
Hardin-Simmons,271,2025-26,31,Allie Buchanan,F,"6'1""",Sr.,"Lake Dallas, Texas",Lake Dallas (LeTourneau),,https://hsuathletics.com/sports/womens-basketball/roster/allie-buchanan/8901
Hardin-Simmons,271,2025-26,33,Avery Cathey,G,"5'8""",Fr.,"Panhandle, Texas",Panhandle,,https://hsuathletics.com/sports/womens-basketball/roster/avery-cathey/8909
Hardin-Simmons,271,2025-26,50,Angie Sacco,C,"5'11""",Sr.,"Cedar Park, Texas",Cedar Park,,https://hsuathletics.com/sports/womens-basketball/roster/angie-sacco/8907
Oglethorpe,2713,2025-26,0,Channing Segars,G/F,"5'11""",Fr.,"Canon, Ga.",Hart County High School,,https://gopetrels.com/sports/womens-basketball/roster/channing-segars/6720
Oglethorpe,2713,2025-26,1,Jaden Winfrey,G,"5'8""",Sr.,"Cullman, Ala.",Cullman High School,,https://gopetrels.com/sports/womens-basketball/roster/jaden-winfrey/6708
Oglethorpe,2713,2025-26,3,Malia Melton,G/F,"5'10""",Sr.,"Buford, Ga.",Hebron Christian Academy,,https://gopetrels.com/sports/womens-basketball/roster/malia-melton/6706
Oglethorpe,2713,2025-26,4,Callie Cavender,G,"5'8""",Fr.,"Canton, Ga.",Creekview High School,,https://gopetrels.com/sports/womens-basketball/roster/callie-cavender/6710
Oglethorpe,2713,2025-26,10,Morgan Sandema,G,"5'9""",Fr.,"Covington, Ga.",Eastside High School,,https://gopetrels.com/sports/womens-basketball/roster/morgan-sandema/6718
Oglethorpe,2713,2025-26,11,Anna Conza,G,"5'8""",Jr.,"Long Island, Ny.",Valor Christian Academy,,https://gopetrels.com/sports/womens-basketball/roster/anna-conza/6702
Oglethorpe,2713,2025-26,12,Marlie Battle,G,"5'8""",Fr.,"Smyrna, Ga.",Campbell High School,,https://gopetrels.com/sports/womens-basketball/roster/marlie-battle/6709
Oglethorpe,2713,2025-26,13,Brooke Herdman,G,"5'8""",So.,"Peachtree City, Ga.",Starr's Mill High School,,https://gopetrels.com/sports/womens-basketball/roster/brooke-herdman/6705
Oglethorpe,2713,2025-26,20,Keimarya Rivera,F,"6'1""",Sr.,"Canton, Ga.",Cherokee High School,,https://gopetrels.com/sports/womens-basketball/roster/keimarya-rivera/6707
Oglethorpe,2713,2025-26,21,Ashton Jones,F,"5'11""",Fr.,"Bartlett, Tenn.",Lausanne Collegiate School,,https://gopetrels.com/sports/womens-basketball/roster/ashton-jones/6713
Oglethorpe,2713,2025-26,22,Briley Elder,G,"5'9""",Jr.,"Suwanee, Ga.",Lambert High School,,https://gopetrels.com/sports/womens-basketball/roster/briley-elder/6703
Oglethorpe,2713,2025-26,23,Sheraton Foster,G,"5'3""",Sr.,"Franklin, Tenn.",Centennial,,https://gopetrels.com/sports/womens-basketball/roster/sheraton-foster/6704
Oglethorpe,2713,2025-26,24,Lauren Phillip,F,"6'3""",Fr.,"Marietta, Ga.",Campbell High School,,https://gopetrels.com/sports/womens-basketball/roster/lauren-phillip/6716
Oglethorpe,2713,2025-26,25,Sarah Kate Evans,G,"5'8""",Fr.,"Newnan, Ga.",Heard County High School,,https://gopetrels.com/sports/womens-basketball/roster/sarah-kate-evans/6711
Oglethorpe,2713,2025-26,30,Aliyah Shaffer,G/F,"5'11""",So.,"Brooks, Ga.",Heritage School,,https://gopetrels.com/sports/womens-basketball/roster/aliyah-shaffer/6721
Oglethorpe,2713,2025-26,32,Gaby LoPresti,G,"5'9""",So.,"Kennesaw, Ga.",North Cobb Christian School,,https://gopetrels.com/sports/womens-basketball/roster/gaby-lopresti/6714
Oglethorpe,2713,2025-26,33,Genny Rogers,F,"6'0""",Fr.,"Brentwood, Tenn.",Lipscomb Academy,,https://gopetrels.com/sports/womens-basketball/roster/genny-rogers/6717
Oglethorpe,2713,2025-26,34,Kamaria McDermott,F,"6'3""",Fr.,"Knoxville, Tenn.",Fulton High School,,https://gopetrels.com/sports/womens-basketball/roster/kamaria-mcdermott/6715
Oglethorpe,2713,2025-26,51,Abby Scott,F,"6'1""",Fr.,"Canton, Ga.",Cherokee High School,,https://gopetrels.com/sports/womens-basketball/roster/abby-scott/6719
Colorado St.-Pueblo,2720,2025-26,0,Talia Strode,G,"5'7""",Fr.,"Aurora, Colo.",Cherokee Trail,,https://gothunderwolves.com/sports/womens-basketball/roster/talia-strode/9809
Colorado St.-Pueblo,2720,2025-26,1,Genesis Sweetwine,G,"5'4""",Sr.,"Aurora, Colo.",Rangeview,Northeastern JC,https://gothunderwolves.com/sports/womens-basketball/roster/genesis-sweetwine/9750
Colorado St.-Pueblo,2720,2025-26,3,Wynter Jones,G,"5'6""",Jr.,"Dallas, Texas",Frisco Memorial,Blinn College,https://gothunderwolves.com/sports/womens-basketball/roster/wynter-jones/9805
Colorado St.-Pueblo,2720,2025-26,5,Seneya Martinez,G,"5'8""",Sr.,"Windsor, Colo.",Northridge,Northeastern JC / Appalachian State,https://gothunderwolves.com/sports/womens-basketball/roster/seneya-martinez/9806
Colorado St.-Pueblo,2720,2025-26,8,Jamie Suazo,G/F,"5'9""",Fr.,"Pueblo, Colo.",Pueblo West,,https://gothunderwolves.com/sports/womens-basketball/roster/jamie-suazo/9811
Colorado St.-Pueblo,2720,2025-26,10,Latai Charles,F,"6'0""",Jr.,"Casa Grande, Ariz.",Skyline Gila River,Central Wyoming / Murray State College,https://gothunderwolves.com/sports/womens-basketball/roster/latai-charles/10023
Colorado St.-Pueblo,2720,2025-26,11,Destiny Smith,G,"5'8""",Sr.,"Tulsa, Okla.",Memorial,Cloud County CC / Garden City CC,https://gothunderwolves.com/sports/womens-basketball/roster/destiny-smith/9751
Colorado St.-Pueblo,2720,2025-26,14,Malorie Byrne,F,"6'1""",So.,"Arvada, Colo.",Arvada West,Chadron State,https://gothunderwolves.com/sports/womens-basketball/roster/malorie-byrne/9804
Colorado St.-Pueblo,2720,2025-26,21,Ruby Sweeney-Spitzeck,G,"5'8""",Sr.,"Melbourne, Australia",Box Hills Sr. Secondary,Fort Lewis / Northeastern JC / Idaho State University,https://gothunderwolves.com/sports/womens-basketball/roster/ruby-sweeney-spitzeck/9810
Colorado St.-Pueblo,2720,2025-26,22,Laci Roffle,F,"5'11""",Jr.,"Aurora, Colo.",Eaglecrest,MSU Denver,https://gothunderwolves.com/sports/womens-basketball/roster/laci-roffle/9808
Colorado St.-Pueblo,2720,2025-26,23,Dasani Nesbit,F,"5'10""",Jr.,"Billings, Mont.",Froid,Gillette College,https://gothunderwolves.com/sports/womens-basketball/roster/dasani-nesbit/9840
Colorado St.-Pueblo,2720,2025-26,24,Anyla Owens,F,"5'10""",Jr.,"Colorado Springs, Colo.",Cheyenne Mountain,Otero JC,https://gothunderwolves.com/sports/womens-basketball/roster/anyla-owens/9807
Colorado St.-Pueblo,2720,2025-26,30,Jada Bobb,F,"6'1""",Fr.,"Aurora, Colo.",Eaglecrest,,https://gothunderwolves.com/sports/womens-basketball/roster/jada-bobb/9803
Colorado St.-Pueblo,2720,2025-26,32,Brooklyn Meza,F,"6'0""",So.,"Windsor, Colo.",Roosevelt,,https://gothunderwolves.com/sports/womens-basketball/roster/brooklyn-meza/9749
Hartwick,273,2025-26,1,Emma Cohen,G,"5'8""",Sr.,"Utica, N.Y.",Thomas R. Proctor,,https://www.hartwickhawks.com/sports/womens-basketball/roster/emma-cohen/8709
Hartwick,273,2025-26,2,Yadi Smith,G,"5'4""",Jr.,"Poughkeepsie, N.Y.",Franklin D. Roosevelt,,https://www.hartwickhawks.com/sports/womens-basketball/roster/yadi-smith/8714
Hartwick,273,2025-26,3,Niamh Kelly,G,"5'7""",So.,"Latham, N.Y.",Shaker,,https://www.hartwickhawks.com/sports/womens-basketball/roster/niamh-kelly/8713
Hartwick,273,2025-26,4,Ryleigh Endres,G,"5'3""",Jr.,"Niskayuna, N.Y.",,Franklin University,https://www.hartwickhawks.com/sports/womens-basketball/roster/ryleigh-endres/8720
Hartwick,273,2025-26,11,Alexa Voland,G,"5'5""",Fr.,"Vorheesville, N.Y.",Vorheesville High School,,https://www.hartwickhawks.com/sports/womens-basketball/roster/alexa-voland/8724
Hartwick,273,2025-26,12,Natalie Vredenburgh,G,"5'8""",So.,"Delhi, N.Y.",Delaware Academy,,https://www.hartwickhawks.com/sports/womens-basketball/roster/natalie-vredenburgh/8716
Hartwick,273,2025-26,14,Meghan Paul,G,"5'7""",Fr.,"Waterford, N.Y.",Catholic Central High School,,https://www.hartwickhawks.com/sports/womens-basketball/roster/meghan-paul/8721
Hartwick,273,2025-26,15,Jess Bowens,F,"5'8""",Fr.,"Mechanicville, N.Y.",Ballston Spa High School,,https://www.hartwickhawks.com/sports/womens-basketball/roster/jess-bowens/8718
Hartwick,273,2025-26,20,Olivia Farnham,F,"5'10""",So.,"Millerton, N.Y.",Webutuck,,https://www.hartwickhawks.com/sports/womens-basketball/roster/olivia-farnham/8711
Hartwick,273,2025-26,21,Leah Schoonover,G,"5'6""",Jr.,"Fredericksburg, VA",,Knox College,https://www.hartwickhawks.com/sports/womens-basketball/roster/leah-schoonover/8723
Hartwick,273,2025-26,22,Macy Durkin,G,"5'8""",Jr.,"Syracuse, N.Y.",Jamesville-DeWitt,,https://www.hartwickhawks.com/sports/womens-basketball/roster/macy-durkin/8710
Hartwick,273,2025-26,23,Brianna Barton,G,"5'6""",Fr.,"Cavendish, VT",Windsor High School,,https://www.hartwickhawks.com/sports/womens-basketball/roster/brianna-barton/8717
Hartwick,273,2025-26,24,Caleigh Richards,G,"5'5""",Fr.,"Ballston Spa, N.Y.",Ballston Spa High School,,https://www.hartwickhawks.com/sports/womens-basketball/roster/caleigh-richards/8722
Hartwick,273,2025-26,25,Sophia DiCalogero,G,"5'7""",Fr.,"Melrose, MA",Melrose High School,,https://www.hartwickhawks.com/sports/womens-basketball/roster/sophia-dicalogero/8719
Hartwick,273,2025-26,30,Kylie Guarino,C,"6'3""",Jr.,"Auburn, N.Y.",Auburn,,https://www.hartwickhawks.com/sports/womens-basketball/roster/kylie-guarino/8712
Hartwick,273,2025-26,34,Trinity Thornton,F,"5'8""",Jr.,"Sherburne, N.Y.",Sherburne Earlville,,https://www.hartwickhawks.com/sports/womens-basketball/roster/trinity-thornton/8715
Howard Payne,2741,2025-26,0,Caitlyn Panuco,G,"5'8""",Gr.,"Whitney, Texas",Whitney HS,Nelson University,https://hpusports.com/sports/womens-basketball/roster/caitlyn-panuco/6462
Howard Payne,2741,2025-26,2,Raven Thomas,G,"5'8""",Gr.,"Hutto, TX",Hutto,Nelson University,https://hpusports.com/sports/womens-basketball/roster/raven-thomas/6781
Howard Payne,2741,2025-26,3,Azaylee Santos,G,"5'3""",So.,"Floydada, Texas",Floydada HS,,https://hpusports.com/sports/womens-basketball/roster/azaylee-santos/6780
Howard Payne,2741,2025-26,4,Madison Clay,G,"5'9""",Jr.,"Houston, Texas",Bridgeland HS,Shenanadoah University,https://hpusports.com/sports/womens-basketball/roster/madison-clay/6465
Howard Payne,2741,2025-26,10,Caitlyn Parsons,F,"6'0""",Fr.,"Gordon, TX",Gordon HS,Weatherford College,https://hpusports.com/sports/womens-basketball/roster/caitlyn-parsons/6783
Howard Payne,2741,2025-26,11,Taylor McAfee,G,"5'7""",Fr.,"Wylie, TX",Wylie HS,,https://hpusports.com/sports/womens-basketball/roster/taylor-mcafee/6784
Howard Payne,2741,2025-26,13,Amaris Ambriz,G,"5'1""",So.,"El Paso, Texas",El Paso HS,,https://hpusports.com/sports/womens-basketball/roster/amaris-ambriz/6471
Howard Payne,2741,2025-26,14,Anneliese Leet,F,"5'10""",Fr.,"Killeen, TX",Chaparral HS,,https://hpusports.com/sports/womens-basketball/roster/anneliese-leet/6785
Howard Payne,2741,2025-26,21,Kaley Nicholson,F,"5'7""",Jr.,"Edgewood, Texas",Edgewood HS,Jacksonville College,https://hpusports.com/sports/womens-basketball/roster/kaley-nicholson/6470
Howard Payne,2741,2025-26,23,Kinsey Glasgow,G,"5'4""",Fr.,"Stephenville, TX",Comanche HS,,https://hpusports.com/sports/womens-basketball/roster/kinsey-glasgow/6786
Howard Payne,2741,2025-26,32,BrookLynn Peterson,F,"6'0""",Fr.,"Glen Rose, TX",Glen Rose HS,,https://hpusports.com/sports/womens-basketball/roster/brooklynn-peterson/6787
Howard Payne,2741,2025-26,40,Kate Buchanan,F,"5'10""",Jr.,"Mineral Wells, Texas",Community Christian School,,https://hpusports.com/sports/womens-basketball/roster/kate-buchanan/6447
Lake Erie,2746,2025-26,1,Micheala Dean-Dunn,G,"5'5""",So.,"Canal Winchester, Ohio",Canal Winchester,,https://lakeeriestorm.com/sports/womens-basketball/roster/micheala-dean-dunn/8649
